127.0.0.1 - - [05/Mar/2025:03:26:11 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:26:14 +0900] "GET /BookStore/shippingInfo.jsp HTTP/1.1" 200 2635
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:26:21 +0900] "POST /BookStore/processShippingInfo.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:26:21 +0900] "GET /BookStore/orderConfirmation.jsp HTTP/1.1" 200 2052
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:26:25 +0900] "GET /BookStore/welcome.jsp HTTP/1.1" 200 1417
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:26:30 +0900] "GET /BookStore/ShippingInfo.jsp?cartId=null HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:26:31 +0900] "GET /BookStore/books.jsp HTTP/1.1" 200 3306
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:26:31 +0900] "GET /BookStore/resources/images/ISBN1235.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:26:31 +0900] "GET /BookStore/resources/images/ISBN1234.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:26:31 +0900] "GET /BookStore/resources/images/ISBN1236.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:26:32 +0900] "GET /BookStore/book.jsp?id=ISBN1234 HTTP/1.1" 200 2754
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:26:35 +0900] "POST /BookStore/addCart.jsp?id=ISBN1234 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:26:35 +0900] "GET /BookStore/book.jsp?id=ISBN1234 HTTP/1.1" 200 2754
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:26:36 +0900] "GET /BookStore/cart.jsp HTTP/1.1" 200 2166
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:26:39 +0900] "GET /BookStore/shippingInfo.jsp?cartId=780EDD6C01780161BB85166CD18D9687 HTTP/1.1" 200 2691
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:27:04 +0900] "POST /BookStore/processShippingInfo.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:27:04 +0900] "GET /BookStore/orderConfirmation.jsp HTTP/1.1" 200 2306
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:27:15 +0900] "GET /BookStore/thankCustmer.jsp HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:27:25 +0900] "GET /BookStore/checkOutCancelled.jsp HTTP/1.1" 200 1382
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:27:26 +0900] "GET /BookStore/books.jsp HTTP/1.1" 200 3306
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:27:28 +0900] "GET /BookStore/book.jsp?id=ISBN1235 HTTP/1.1" 200 2813
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:27:29 +0900] "GET /BookStore/cart.jsp HTTP/1.1" 200 2166
